"Coste relativo" "Ingresos" "Tiempo de espera" "tipo"
1.72480058178452 1.46234711955201 336 "auto"
1.58405778703051 1.52310569496742 617 "auto"
1.01796362691267 1.80417090159446 935 "auto"
2.14655540964028 1.51865045022868 1185 "auto"
2.07642289160731 1.33978471341159 1310 "auto"
2.99855695302533 0.516486770190463 1237 "auto"
2.13696904167827 1.35532076830865 963 "auto"
2.27806338549541 1.44017454040016 647 "auto"
1.66624538635231 1.50771474570089 714 "auto"
1.5808067140914 1.28783823002337 834 "auto"
2.01905509081493 1.41655735654177 856 "auto"
1.56857226814495 1.26378791183306 900 "auto"
1.98065533815281 1.08195378264465 923 "auto"
2.15032484952632 1.5223513185179 1307 "auto"
1.52849744536396 1.45239407865967 976 "auto"
1.98703269910647 1.08460982763036 1103 "auto"
1.93899763109595 1.25350421823637 942 "auto"
1.67071928798026 1.29156257342735 864 "auto"
1.51621774413983 1.57008785420111 960 "auto"
1.69063291236272 1.12487734678516 692 "auto"
1.69714074352628 1.69650000524787 859 "auto"
2.15860127439146 1.57100917795309 714 "auto"
1.33646224359341 1.90018530493838 1188 "auto"
1.56988045000235 1.34517768397961 1240 "auto"
2.12809324156758 0.990573526482444 822 "auto"
1.4606852769882 1.23210795319643 980 "auto"
1.96513619275233 1.20495464527113 645 "auto"
1.64075044488955 1.61978951292069 1800 "auto"
2.1957033528658 1.08890409921037 1339 "auto"
2.01692194933458 1.3103227996969 1224 "auto"
1.34402198186615 1.32672727607985 1549 "auto"
1.48021005744167 1.3300890600774 814 "auto"
2.06081534569645 0.908916331286246 1327 "auto"
2.34773968930822 1.18024627877118 1106 "auto"
1.90562039769903 1.28282725867402 641 "auto"
1.70958459485801 1.66690448124913 469 "auto"
1.69936138747953 1.51681039999003 636 "auto"
2.0677679046923 0.836468194451934 674 "auto"
1.96222093895544 1.06986926063852 986 "auto"
2.11466284023819 1.80740299153298 631 "auto"
2.42580562450561 1.11912763329846 491 "auto"
2.18505683754293 1.44410593560004 1237 "auto"
2.62483620560192 1.6956230899404 568 "auto"
1.69115348880844 1.29679871860131 811 "auto"
2.2463816856619 1.12587588782807 974 "auto"
1.71106261950244 1.29674244609674 893 "auto"
2.09349143296396 1.22317515784992 482 "auto"
1.15953531178154 1.7396380969371 1189 "auto"
2.00239162019911 1.19411406967367 420 "auto"
2.04924254589987 0.953295163175116 1076 "auto"
1.36834356283738 1.70570580170181 740 "auto"
1.5764673034551 1.94017854085786 1431 "auto"
2.02524445610284 1.3758179161645 1607 "auto"
1.91192990887998 1.14539143500623 1091 "auto"
2.44200573505911 0.898534676665796 279 "auto"
2.77810211152356 1.30302621043974 1308 "auto"
1.6746606354423 1.40526698768326 934 "auto"
2.05373347229436 1.42528762664581 684 "auto"
2.35495731177951 1.09465518275181 1118 "auto"
1.9023327342895 1.85448027855705 727 "auto"
2.16453339231749 1.2696695767172 1280 "auto"
1.87677852326334 0.345927988318543 992 "auto"
1.9360555518247 1.58097145885021 1435 "auto"
1.51482411367559 1.29453715152308 369 "auto"
1.83876127124035 1.01541377311778 993 "auto"
2.09324108439834 1.6491191327349 781 "auto"
2.64898874509256 0.360743751440175 886 "auto"
1.76968995274001 1.70457564841207 693 "auto"
1.08666696417456 1.89072487545529 1141 "auto"
2.23508580876419 1.32002047384252 328 "auto"
1.5766935273574 1.29904316020724 1039 "auto"
1.71895778740072 1.210822218014 609 "auto"
2.59771410776671 0.744942902961775 988 "auto"
1.77881180871675 1.4007011561332 442 "auto"
1.74896873244828 1.83671891936857 1662 "auto"
2.1347833274287 0.738314401992427 1364 "auto"
1.37887394902644 1.48834938830139 718 "auto"
1.60802702343363 1.34227155014304 582 "auto"
1.69543124994852 1.88352242759311 1098 "auto"
1.75637116077647 1.64948168017803 944 "auto"
2.35120240191269 1.20351252251101 836 "auto"
1.42218727565101 1.21990357348514 1348 "auto"
2.37746281742739 0.558116711055218 667 "auto"
2.01906710406783 0.950466840027767 805 "auto"
1.88620923591092 1.19986338046064 834 "auto"
1.90496817925267 1.26034681210252 1253 "auto"
2.0346052242895 1.14205033689965 615 "auto"
2.29291923564891 1.22813427538779 729 "auto"
2.00386870334736 1.56099044762309 1162 "auto"
2.65251606435457 1.47029657238832 700 "auto"
1.73221490099925 0.827563339534949 1367 "auto"
1.47509218708735 1.20925379335778 1145 "auto"
1.54308715531602 1.56202373828121 1132 "auto"
1.74292189307316 1.30459391008652 1479 "auto"
1.74226478924638 0.947923670111705 1250 "auto"
1.75305719257141 1.04696631154567 617 "auto"
2.80086393503923 0.751903739875527 1072 "auto"
2.48182547138879 1.02161578001493 1299 "auto"
1.81609385849119 0.950517509982766 1025 "auto"
1.86661099513742 0.804172670242796 990 "auto"
2.6840948058573 1.26272549465289 535 "auto"
1.94118694665567 1.28261751088459 831 "auto"
2.02520931439697 0.849682968786303 1531 "auto"
1.92020422162329 1.24217958954451 1320 "auto"
1.93839840517247 1.20312258965425 405 "auto"
2.00238534815659 1.342237136826 995 "auto"
1.8709733455656 1.65036475418914 1189 "auto"
2.13228617233986 0.662514946948311 776 "auto"
2.44898131572715 1.05010863276347 741 "auto"
1.76658266123306 1.15596761267334 1213 "auto"
1.56405413629433 1.13108769973792 1774 "auto"
2.09515353945163 1.62869783037547 655 "auto"
2.57165066244719 0.905834147029366 575 "auto"
1.86179157289178 1.21117726397223 1371 "auto"
1.94640005070892 1.30803798790987 954 "auto"
1.62021939676836 2.32074851625591 1072 "auto"
1.84955335815009 0.689554719669759 1346 "auto"
1.97248840750894 1.13225986711308 1126 "auto"
2.06870586361218 1.14108129847671 1398 "auto"
2.05049158729432 0.951958891801318 1320 "auto"
2.26504294534596 1.42840217498042 1460 "auto"
2.26286645148283 1.4448933435702 262 "auto"
2.6110541052909 0.753113088186855 610 "auto"
1.84385482058029 1.35961247705364 775 "auto"
1.55323199744396 1.6453259567771 970 "auto"
2.05927537550813 0.55611650419649 970 "auto"
2.17381651077459 1.2672791951281 609 "auto"
2.17106969470305 1.27406354425685 1004 "auto"
1.84800821070998 0.628730332993889 1061 "auto"
2.20319038932221 1.39956800689186 725 "auto"
1.94477494002048 0.979066610085432 1473 "auto"
2.33620399521113 0.772989836212766 982 "auto"
2.06524870398288 1.13959474166967 1083 "auto"
1.45664872944129 1.53660734309635 511 "auto"
1.79284480196042 1.56287540518148 1061 "auto"
1.1897109192118 1.47712068076769 980 "auto"
1.95805122892642 1.08076931827618 1075 "auto"
